Seconds,Control (before 48hrs),Control (after 48hrs),10 mA (before 48hrs),10 mA (after 48hrs)
324,0.009154927857,0.007374615884,0.008816114738,0.008590494008
328,0.00914410758,0.007374277755,0.0088281395,0.008594225422
332,0.009134203974,0.007374277755,0.008831149108,0.008600034143
336,0.00912566237,0.007374277755,0.008836311621,0.008606263586
340,0.009118477702,0.007375630398,0.008842770426,0.008611667306
344,0.009107266756,0.007375292206,0.008850098019,0.008615410995
348,0.009099206257,0.007374615884,0.008854843719,0.008620822378
352,0.009089814364,0.007374615884,0.008857865478,0.008626655093
356,0.009079542835,0.007374615884,0.008863048836,0.008633327501
360,0.009069732377,0.00737596861,0.008867803803,0.008639171505
364,0.009063051534,0.007374615884,0.008872129453,0.008641677694
368,0.009052820318,0.007373939646,0.00887948952,0.008648783831
372,0.009043048348,0.007374954035,0.008883822776,0.008655060426
376,0.009037280615,0.007373601557,0.008889460227,0.00866176216
380,0.009026645378,0.007374277755,0.008892497754,0.008667631856
384,0.009017353237,0.007374277755,0.008897708165,0.00867308704
388,0.009012491016,0.007373939646,0.008903792126,0.008678546805
392,0.009004100869,0.01134875282,0.00890814121,0.00868611405
396,0.008995721137,0.01023700744,0.008911622518,0.008691584757
400,0.008989553253,0.009560405503,0.008914670151,0.008695796122
404,0.008982071261,0.009141855504,0.008919026325,0.008700853352
408,0.008971083413,0.008867803803,0.008924693597,0.008705914507
412,0.008964060599,0.008657991583,0.008929056306,0.008712246474
416,0.008957483369,0.008515498015,0.008934732081,0.008718584585
420,0.00895047475,0.008405035385,0.008940849838,0.008721967427
424,0.008944348208,0.008320658506,0.008943910812,0.008725775216
428,0.008933858572,0.008251139982,0.008948723739,0.008732973759
432,0.008928183537,0.008195614814,0.008954854279,0.00873678796
436,0.008922077336,0.008149080053,0.008960113488,0.008743149901
440,0.00891423469,0.008111337768,0.008963621917,0.008746120921
444,0.008907706175,0.008078026995,0.008969327022,0.008750367573
448,0.008902053286,0.008049837156,0.008972401008,0.008754191911
452,0.00889814255,0.00802480547,0.008976355341,0.008757593195
456,0.008919026325,0.008004402171,0.008979872256,0.008760996241
460,0.008909011367,0.007985571879,0.008982951064,0.00876525253
464,0.008902487953,0.007960057389,0.008988672587,0.00877121597
468,0.008895970909,0.009156732897,0.008994398972,0.008775052468
472,0.008880355946,0.008819548154,0.008998807196,0.008776758297
476,0.008869533725,0.008566498875,0.00900233585,0.008781024804
480,0.008855706938,0.008383333032,0.009005424936,0.008783159096
484,0.008847510885,0.01104656497,0.009006749263,0.008786575401
488,0.008843632075,0.01004667843,0.009012491016,0.008790420864
492,0.008839324947,0.009429198968,0.009016468936,0.008793840937
496,0.008834160085,0.009031960909,0.009019564494,0.008797690642
500,0.0088281395,0.008747819252,0.00902133402,0.008800686412
504,0.008823842432,0.008556183717,0.009024431806,0.008803255297
508,0.008820836145,0.008410674152,0.009025759862,0.008807110501
512,0.00881740206,0.008294497834,0.009028416758,0.008816543818
516,0.008815256663,0.008205354144,0.009031074697,0.008820836145
520,0.008804968443,0.008128639393,0.009035506916,0.008825560924
524,0.008798974377,0.008067726278,0.009039498393,0.008827279863
528,0.008789993479,0.008015350884,0.009044824023,0.008828999248
532,0.008787856973,0.007959682988,0.009048820992,0.008829859108
536,0.008783586037,0.007921245137,0.009050598179,0.008832009248
540,0.008778464568,0.007884902719,0.009053709377,0.008833299666
544,0.008773347082,0.007855768022,0.009055487845,0.008836311621
548,0.008770789831,0.00782787507,0.009059491102,0.008836742013
552,0.008767381709,0.007804123969,0.009064387177,0.008839755534
556,0.008763124041,0.007782648434,0.009067950177,0.008841908888
560,0.00875886913,0.007761975683,0.009072852352,0.008842770426
564,0.008753341865,0.007743541053,0.009076865853,0.008844493837
568,0.008748668582,0.007729123363,0.009079542835,0.008846217696
572,0.008743998626,0.007712228297,0.009081328076,0.008847510885
576,0.008748243903,0.007698246364,0.009082667313,0.00884966676
580,0.008748668582,0.007686084562,0.009084899961,0.008850960621
584,0.008738907921,0.007672878762,0.009088026898,0.008850960621
588,0.008735516313,0.00766254942,0.009092943557,0.008850960621
592,0.008733821168,0.00765152821,0.009095626867,0.008850529306
596,0.008746545463,0.007642300913,0.009099653813,0.008852686162
600,0.008882089135,0.007633088453,0.009101444329,0.008854412152
